datetime,Date,Offset,Val
2023-10-06 01:00:00,20231006,1,19.0
2023-10-06 02:00:00,20231006,2,16.8
2023-10-06 03:00:00,20231006,3,16.2
2023-10-06 04:00:00,20231006,4,16.2
2023-10-06 05:00:00,20231006,5,16.2
2023-10-06 06:00:00,20231006,6,16.3
2023-10-06 07:00:00,20231006,7,16.1
2023-10-06 08:00:00,20231006,8,16.0
2023-10-06 09:00:00,20231006,9,16.0
2023-10-06 10:00:00,20231006,10,15.9
2023-10-06 11:00:00,20231006,11,15.6
2023-10-06 12:00:00,20231006,12,15.5
2023-10-06 13:00:00,20231006,13,15.4
2023-10-06 14:00:00,20231006,14,15.3
2023-10-06 15:00:00,20231006,15,15.2
2023-10-06 16:00:00,20231006,16,17.7
2023-10-06 17:00:00,20231006,17,21.8
2023-10-06 18:00:00,20231006,18,24.8
2023-10-06 19:00:00,20231006,19,26.4
2023-10-06 20:00:00,20231006,20,27.3
2023-10-06 21:00:00,20231006,21,27.8
2023-10-06 22:00:00,20231006,22,28.0
2023-10-06 23:00:00,20231006,23,27.4
2023-10-07 00:00:00,20231006,24,21.4
2023-10-07 01:00:00,20231006,25,20.3
2023-10-07 02:00:00,20231006,26,17.3
2023-10-07 03:00:00,20231006,27,16.2
2023-10-07 04:00:00,20231006,28,15.6
2023-10-07 05:00:00,20231006,29,15.2
2023-10-07 06:00:00,20231006,30,15.2
2023-10-07 07:00:00,20231006,31,15.0
2023-10-07 08:00:00,20231006,32,14.9
2023-10-07 09:00:00,20231006,33,14.7
2023-10-07 10:00:00,20231006,34,14.6
2023-10-07 11:00:00,20231006,35,14.3
2023-10-07 12:00:00,20231006,36,14.1
2023-10-07 13:00:00,20231006,37,13.9
2023-10-07 14:00:00,20231006,38,13.8
2023-10-07 15:00:00,20231006,39,13.7
2023-10-07 16:00:00,20231006,40,16.3
2023-10-07 17:00:00,20231006,41,20.1
2023-10-07 18:00:00,20231006,42,23.4
2023-10-07 19:00:00,20231006,43,24.6
2023-10-07 20:00:00,20231006,44,26.3
2023-10-07 21:00:00,20231006,45,27.1
2023-10-07 22:00:00,20231006,46,27.2
2023-10-07 23:00:00,20231006,47,26.6
2023-10-08 00:00:00,20231006,48,18.1
2023-10-08 01:00:00,20231006,49,17.2
2023-10-08 02:00:00,20231006,50,15.3
2023-10-08 03:00:00,20231006,51,14.5
2023-10-08 04:00:00,20231006,52,14.2
2023-10-08 05:00:00,20231006,53,13.9
2023-10-08 06:00:00,20231006,54,13.6
2023-10-08 07:00:00,20231006,55,13.4
2023-10-08 08:00:00,20231006,56,13.5
2023-10-08 09:00:00,20231006,57,13.6
2023-10-08 10:00:00,20231006,58,13.3
2023-10-08 11:00:00,20231006,59,13.1
