,Date,Time,Val,datetime
0,20211201,0,10.3,
1,20211201,100,10.3,
2,20211201,200,10.4,
3,20211201,300,10.5,
4,20211201,400,10.6,
5,20211201,500,10.7,
6,20211201,600,10.8,
7,20211201,700,10.8,
8,20211201,800,10.8,
9,20211201,900,10.8,
10,20211201,1000,10.9,
11,20211201,1100,10.9,
12,20211201,1200,10.8,
13,20211201,1300,10.8,
14,20211201,1400,11.0,
15,20211201,1500,11.3,
16,20211201,1600,11.5,
17,20211201,1700,11.5,
18,20211201,1800,11.7,
19,20211201,1900,11.4,
20,20211201,2000,11.3,
21,20211201,2100,11.6,
22,20211201,2200,11.9,
23,20211201,2300,11.7,
24,20211202,0,11.6,
25,20211202,100,11.3,
26,20211202,200,11.3,
27,20211202,300,11.2,
28,20211202,400,10.6,
29,20211202,500,10.3,
30,20211202,600,10.1,
31,20211202,700,9.8,
32,20211202,800,9.2,
33,20211202,900,8.8,
34,20211202,1000,8.4,
35,20211202,1100,8.2,
36,20211202,1200,7.2,
37,20211202,1300,7.0,
38,20211202,1400,6.7,
39,20211202,1500,6.6,
40,20211202,1600,6.3,
41,20211202,1700,6.3,
42,20211202,1800,6.7,
43,20211202,1900,7.1,
44,20211202,2000,7.2,
45,20211202,2100,7.4,
46,20211202,2200,7.3,
47,20211202,2300,7.1,
48,20211203,0,6.2,
49,20211203,100,5.7,
50,20211203,200,5.3,
51,20211203,300,4.2,
52,20211203,400,3.4,
53,20211203,500,3.3,
54,20211203,600,3.2,
55,20211203,700,2.1,
56,20211203,800,1.6,
57,20211203,900,1.3,
58,20211203,1000,0.6,
59,20211203,1100,0.8,
60,20211203,1200,0.6,
61,20211203,1300,0.3,
62,20211203,1400,0.2,
63,20211203,1500,0.1,
64,20211203,1600,0.3,
65,20211203,1700,1.2,
66,20211203,1800,2.1,
67,20211203,1900,3.0,
68,20211203,2000,3.9,
69,20211203,2100,5.6,
70,20211203,2200,5.4,
71,20211203,2300,5.2,
72,20211204,0,4.9,
73,20211204,100,4.4,
74,20211204,200,4.3,
75,20211204,300,3.9,
76,20211204,400,3.6,
77,20211204,500,3.3,
78,20211204,600,3.3,
79,20211204,700,3.2,
80,20211204,800,3.2,
81,20211204,900,3.0,
82,20211204,1000,3.1,
83,20211204,1100,3.1,
