datetime,ENS_W
2021-10-01 00:00:00,3.9277571041152053e-07
2021-10-01 01:00:00,3.850875986370883e-07
2021-10-01 02:00:00,3.718194057360519e-07
2021-10-01 03:00:00,3.6084524618706396e-07
2021-10-01 04:00:00,3.519791172859041e-07
2021-10-01 05:00:00,3.410669586383228e-07
2021-10-01 06:00:00,3.323248315399764e-07
2021-10-01 07:00:00,3.274267603288461e-07
2021-10-01 08:00:00,3.2116466928676824e-07
2021-10-01 09:00:00,3.1353855841374266e-07
2021-10-01 10:00:00,3.0566444393509025e-07
2021-10-01 11:00:00,3.0467242951258285e-07
2021-10-01 12:00:00,3.053544394280567e-07
2021-10-01 13:00:00,3.0082837362536665e-07
2021-10-01 14:00:00,3.042384232027359e-07
2021-10-01 15:00:00,3.252567287796113e-07
2021-10-01 16:00:00,3.4230697666645705e-07
2021-10-01 17:00:00,3.5737319570828813e-07
2021-10-01 18:00:00,3.679133489474291e-07
2021-10-01 19:00:00,3.778954940739097e-07
2021-10-01 20:00:00,3.874436328905434e-07
2021-10-01 21:00:00,3.863276166652225e-07
2021-10-01 22:00:00,3.875056337919501e-07
2021-10-01 23:00:00,3.937057239326213e-07
2021-10-02 00:00:00,3.854596040455286e-07
2021-10-02 01:00:00,3.7491945080638753e-07
2021-10-02 02:00:00,3.720054084402721e-07
2021-10-02 03:00:00,3.680993516516493e-07
2021-10-02 04:00:00,3.640072921588062e-07
2021-10-02 05:00:00,3.6320128044051897e-07
2021-10-02 06:00:00,3.569391893984411e-07
2021-10-02 07:00:00,3.503050929479229e-07
2021-10-02 08:00:00,3.4993308753948263e-07
2021-10-02 09:00:00,3.446010100185054e-07
2021-10-02 10:00:00,3.4627503435648667e-07
2021-10-02 11:00:00,3.4491101452553895e-07
2021-10-02 12:00:00,3.408189550326959e-07
2021-10-02 13:00:00,3.3623088832859926e-07
2021-10-02 14:00:00,3.4577902714523294e-07
2021-10-02 15:00:00,3.598532317645565e-07
2021-10-02 16:00:00,3.7640747244014866e-07
2021-10-02 17:00:00,3.878156382989836e-07
2021-10-02 18:00:00,3.9748777891843076e-07
2021-10-02 19:00:00,4.0337786455206837e-07
2021-10-02 20:00:00,3.994718077634455e-07
2021-10-02 21:00:00,3.9829379063671804e-07
2021-10-02 22:00:00,3.9147369148197963e-07
2021-10-02 23:00:00,3.91597693284793e-07
2021-10-03 00:00:00,3.893656608341514e-07
2021-10-03 01:00:00,3.815535472569057e-07
2021-10-03 02:00:00,3.766554760457755e-07
2021-10-03 03:00:00,3.7243941475011894e-07
2021-10-03 04:00:00,3.6530931108834725e-07
2021-10-03 05:00:00,3.5991523266596327e-07
2021-10-03 06:00:00,3.5718719300406795e-07
2021-10-03 07:00:00,3.499950884408893e-07
2021-10-03 08:00:00,3.4788705779306116e-07
2021-10-03 09:00:00,3.4652303796211345e-07
2021-10-03 10:00:00,3.447870127227256e-07
2021-10-03 11:00:00,3.4137696314535636e-07
2021-10-03 12:00:00,3.3424685948358456e-07
2021-10-03 13:00:00,3.322008297371629e-07
2021-10-03 14:00:00,3.406949532298825e-07
2021-10-03 15:00:00,3.5414914883513913e-07
2021-10-03 16:00:00,3.684093561586828e-07
2021-10-03 17:00:00,3.783295003837567e-07
2021-10-03 18:00:00,3.901096716510319e-07
2021-10-03 19:00:00,3.968057690029568e-07
2021-10-03 20:00:00,3.9041967615806557e-07
2021-10-03 21:00:00,3.943257329466884e-07
2021-10-03 22:00:00,3.852736013413085e-07
2021-10-03 23:00:00,3.8862165001727084e-07
2021-10-04 00:00:00,3.790735112006373e-07
2021-10-04 01:00:00,3.756634616232681e-07
2021-10-04 02:00:00,3.676653453418022e-07
2021-10-04 03:00:00,3.636352867503659e-07
2021-10-04 04:00:00,3.6115525069409746e-07
2021-10-04 05:00:00,3.5731119480688137e-07
2021-10-04 06:00:00,3.568151875956277e-07
2021-10-04 07:00:00,3.5321913531403833e-07
2021-10-04 08:00:00,3.47701055088841e-07
2021-10-04 09:00:00,3.432989910889644e-07
2021-10-04 10:00:00,3.341848585821778e-07
2021-10-04 11:00:00,3.219706810050554e-07
2021-10-04 12:00:00,3.1862263232909305e-07
2021-10-04 13:00:00,3.3207682793434947e-07
2021-10-04 14:00:00,3.4292698568052415e-07
2021-10-04 15:00:00,3.5160711187746384e-07
2021-10-04 16:00:00,3.5563717046890016e-07
2021-10-04 17:00:00,3.6444129846865327e-07
2021-10-04 18:00:00,3.6853335796149635e-07
2021-10-04 19:00:00,3.685333579614962e-07
2021-10-04 20:00:00,3.7200540844027213e-07
2021-10-04 21:00:00,3.9389172663684135e-07
2021-10-04 22:00:00,3.9308571491855424e-07
2021-10-04 23:00:00,3.889936554257111e-07
2021-10-05 00:00:00,3.7845350218657007e-07
2021-10-05 01:00:00,3.732454264684063e-07
2021-10-05 02:00:00,3.6921536787697005e-07
2021-10-05 03:00:00,3.6617732370804124e-07
2021-10-05 04:00:00,3.6301527773629885e-07
2021-10-05 05:00:00,3.6010123537018345e-07
2021-10-05 06:00:00,3.5452115424357934e-07
2021-10-05 07:00:00,3.4863106860994157e-07
2021-10-05 08:00:00,3.43608995595998e-07
2021-10-05 09:00:00,3.388969270890879e-07
2021-10-05 10:00:00,3.297827945823013e-07
2021-10-05 11:00:00,3.2066866207551446e-07
2021-10-05 12:00:00,3.1980064945582063e-07
