datetime,ENS_W
2021-10-01 00:00:00,2.1004639939007862e-07
2021-10-01 01:00:00,2.0593499394029651e-07
2021-10-01 02:00:00,1.9883950388986605e-07
2021-10-01 03:00:00,1.9297080417525767e-07
2021-10-01 04:00:00,1.8822942530978315e-07
2021-10-01 05:00:00,1.8239388209073756e-07
2021-10-01 06:00:00,1.7771881621638851e-07
2021-10-01 07:00:00,1.7509945306693056e-07
2021-10-01 08:00:00,1.7175064701509188e-07
2021-10-01 09:00:00,1.6767239806087256e-07
2021-10-01 10:00:00,1.6346152312440212e-07
2021-10-01 11:00:00,1.62931019195398e-07
2021-10-01 12:00:00,1.632957406465883e-07
2021-10-01 13:00:00,1.6087531647050695e-07
2021-10-01 14:00:00,1.6269892372645866e-07
2021-10-01 15:00:00,1.7393897572223397e-07
2021-10-01 16:00:00,1.830570120019927e-07
2021-10-01 17:00:00,1.9111404042374317e-07
2021-10-01 18:00:00,1.9675064466941222e-07
2021-10-01 19:00:00,2.0208884045501642e-07
2021-10-01 20:00:00,2.071949407716813e-07
2021-10-01 21:00:00,2.0659812385155166e-07
2021-10-01 22:00:00,2.0722809726724407e-07
2021-10-01 23:00:00,2.1054374682351994e-07
2021-10-02 00:00:00,2.0613393291367303e-07
2021-10-02 01:00:00,2.0049732866800398e-07
2021-10-02 02:00:00,1.989389733765543e-07
2021-10-02 03:00:00,1.9685011415610048e-07
2021-10-02 04:00:00,1.946617854489584e-07
2021-10-02 05:00:00,1.9423075100664255e-07
2021-10-02 06:00:00,1.9088194495480387e-07
2021-10-02 07:00:00,1.8733419992958863e-07
2021-10-02 08:00:00,1.8713526095621208e-07
2021-10-02 09:00:00,1.842838023378148e-07
2021-10-02 10:00:00,1.851790277180093e-07
2021-10-02 11:00:00,1.8444958481562858e-07
2021-10-02 12:00:00,1.822612561084865e-07
2021-10-02 13:00:00,1.7980767543684234e-07
2021-10-02 14:00:00,1.849137757535072e-07
2021-10-02 15:00:00,1.9244030024625355e-07
2021-10-02 16:00:00,2.012930845615102e-07
2021-10-02 17:00:00,2.0739387974505785e-07
2021-10-02 18:00:00,2.1256629305284832e-07
2021-10-02 19:00:00,2.1571616013131043e-07
2021-10-02 20:00:00,2.1362730091085655e-07
2021-10-02 21:00:00,2.129973274951642e-07
2021-10-02 22:00:00,2.093501129832607e-07
2021-10-02 23:00:00,2.0941642597438616e-07
2021-10-03 00:00:00,2.082227921341268e-07
2021-10-03 01:00:00,2.040450736932192e-07
2021-10-03 02:00:00,2.0142571054376122e-07
2021-10-03 03:00:00,1.9917106884549364e-07
2021-10-03 04:00:00,1.953580718557763e-07
2021-10-03 05:00:00,1.9247345674181625e-07
2021-10-03 06:00:00,1.9101457093705492e-07
2021-10-03 07:00:00,1.8716841745177487e-07
2021-10-03 08:00:00,1.8604109660264104e-07
2021-10-03 09:00:00,1.8531165370026032e-07
2021-10-03 10:00:00,1.8438327182450308e-07
2021-10-03 11:00:00,1.8255966456855137e-07
2021-10-03 12:00:00,1.787466675788341e-07
2021-10-03 13:00:00,1.7765250322526302e-07
2021-10-03 14:00:00,1.8219494311736097e-07
2021-10-03 15:00:00,1.893899026544797e-07
2021-10-03 16:00:00,1.9701589663391426e-07
2021-10-03 17:00:00,2.0232093592395575e-07
2021-10-03 18:00:00,2.0862067008088e-07
2021-10-03 19:00:00,2.1220157160165792e-07
2021-10-03 20:00:00,2.0878645255869377e-07
2021-10-03 21:00:00,2.1087531177914755e-07
2021-10-03 22:00:00,2.0603446342698475e-07
2021-10-03 23:00:00,2.078249141873737e-07
2021-10-04 00:00:00,2.0271881387070883e-07
2021-10-04 01:00:00,2.008952066147571e-07
2021-10-04 02:00:00,1.9661801868716118e-07
2021-10-04 03:00:00,1.9446284647558182e-07
2021-10-04 04:00:00,1.9313658665307143e-07
2021-10-04 05:00:00,1.9108088392818044e-07
2021-10-04 06:00:00,1.9081563196367837e-07
2021-10-04 07:00:00,1.8889255522103833e-07
2021-10-04 08:00:00,1.8594162711595278e-07
2021-10-04 09:00:00,1.8358751593099684e-07
2021-10-04 10:00:00,1.7871351108327127e-07
2021-10-04 11:00:00,1.721816814574078e-07
2021-10-04 12:00:00,1.7039123069701875e-07
2021-10-04 13:00:00,1.7758619023413752e-07
2021-10-04 14:00:00,1.833885769576203e-07
2021-10-04 15:00:00,1.880304863364066e-07
2021-10-04 16:00:00,1.9018565854798594e-07
2021-10-04 17:00:00,1.9489388091789772e-07
2021-10-04 18:00:00,1.9708220962503978e-07
2021-10-04 19:00:00,1.970822096250398e-07
2021-10-04 20:00:00,1.9893897337655428e-07
