datetime,ENS_W
2021-10-01 00:00:00,2.6895314938450477e-05
2021-10-01 01:00:00,2.6368871520555e-05
2021-10-01 02:00:00,2.5460332073541825e-05
2021-10-01 03:00:00,2.470887654961038e-05
2021-10-01 04:00:00,2.4101768414456724e-05
2021-10-01 05:00:00,2.3354558401959912e-05
2021-10-01 06:00:00,2.2755941289675533e-05
2021-10-01 07:00:00,2.2420545886338908e-05
2021-10-01 08:00:00,2.1991749231440164e-05
2021-10-01 09:00:00,2.1469551324979333e-05
2021-10-01 10:00:00,2.0930371372779928e-05
2021-10-01 11:00:00,2.086244318982567e-05
2021-10-01 12:00:00,2.090914381560672e-05
2021-10-01 13:00:00,2.059922148087793e-05
2021-10-01 14:00:00,2.0832724609783186e-05
2021-10-01 15:00:00,2.2271952986126472e-05
2021-10-01 16:00:00,2.3439468630652733e-05
2021-10-01 17:00:00,2.4471127909270486e-05
2021-10-01 18:00:00,2.5192864853159444e-05
2021-10-01 19:00:00,2.587639219413664e-05
2021-10-01 20:00:00,2.653020095507135e-05
2021-10-01 21:00:00,2.6453781749247814e-05
2021-10-01 22:00:00,2.6534446466505988e-05
2021-10-01 23:00:00,2.695899760997009e-05
2021-10-02 00:00:00,2.639434458916284e-05
2021-10-02 01:00:00,2.5672607645273878e-05
2021-10-02 02:00:00,2.5473068607845755e-05
2021-10-02 03:00:00,2.520560138746337e-05
2021-10-02 04:00:00,2.4925397632777073e-05
2021-10-02 05:00:00,2.4870205984126732e-05
2021-10-02 06:00:00,2.4441409329228006e-05
2021-10-02 07:00:00,2.3987139605721415e-05
2021-10-02 08:00:00,2.396166653711357e-05
2021-10-02 09:00:00,2.359655255373445e-05
2021-10-02 10:00:00,2.3711181362469758e-05
2021-10-02 11:00:00,2.361778011090766e-05
2021-10-02 12:00:00,2.3337576356221345e-05
2021-10-02 13:00:00,2.3023408510057917e-05
2021-10-02 14:00:00,2.3677217270992627e-05
2021-10-02 15:00:00,2.4640948366656125e-05
2021-10-02 16:00:00,2.5774499919705256e-05
2021-10-02 17:00:00,2.6555674023679195e-05
2021-10-02 18:00:00,2.721797380748319e-05
2021-10-02 19:00:00,2.762129739377408e-05
2021-10-02 20:00:00,2.7353830173391694e-05
2021-10-02 21:00:00,2.7273165456133523e-05
2021-10-02 22:00:00,2.6806159198323012e-05
2021-10-02 23:00:00,2.6814650221192296e-05
2021-10-03 00:00:00,2.6661811809545223e-05
2021-10-03 01:00:00,2.612687736878046e-05
2021-10-03 02:00:00,2.5791481965443823e-05
2021-10-03 03:00:00,2.5502787187888235e-05
2021-10-03 04:00:00,2.501455337290453e-05
2021-10-03 05:00:00,2.4645193878090765e-05
2021-10-03 06:00:00,2.4458391374966563e-05
2021-10-03 07:00:00,2.3965912048548208e-05
2021-10-03 08:00:00,2.382156465977042e-05
2021-10-03 09:00:00,2.372816340820832e-05
2021-10-03 10:00:00,2.3609289088038373e-05
2021-10-03 11:00:00,2.3375785959133123e-05
2021-10-03 12:00:00,2.288755214414941e-05
2021-10-03 13:00:00,2.2747450266806256e-05
2021-10-03 14:00:00,2.3329085333352075e-05
2021-10-03 15:00:00,2.4250361314669156e-05
2021-10-03 16:00:00,2.5226828944636574e-05
2021-10-03 17:00:00,2.5906110774179132e-05
2021-10-03 18:00:00,2.6712757946760914e-05
2021-10-03 19:00:00,2.7171273181702135e-05
2021-10-03 20:00:00,2.6733985503934118e-05
2021-10-03 21:00:00,2.7001452724316495e-05
2021-10-03 22:00:00,2.6381608054858916e-05
2021-10-03 23:00:00,2.6610865672329533e-05
2021-10-04 00:00:00,2.595705691139482e-05
2021-10-04 01:00:00,2.572355378248957e-05
2021-10-04 02:00:00,2.5175882807420887e-05
2021-10-04 03:00:00,2.489992456416922e-05
2021-10-04 04:00:00,2.4730104106783587e-05
2021-10-04 05:00:00,2.4466882397835843e-05
2021-10-04 06:00:00,2.4432918306358715e-05
2021-10-04 07:00:00,2.4186678643149542e-05
2021-10-04 08:00:00,2.38088281254665e-05
2021-10-04 09:00:00,2.3507396813606988e-05
2021-10-04 10:00:00,2.2883306632714768e-05
2021-10-04 11:00:00,2.2046940880090495e-05
2021-10-04 12:00:00,2.1817683262619892e-05
2021-10-04 13:00:00,2.2738959243936976e-05
2021-10-04 14:00:00,2.348192374499914e-05
2021-10-04 15:00:00,2.407629534584888e-05
2021-10-04 16:00:00,2.4352253589100544e-05
2021-10-04 17:00:00,2.4955116212819554e-05
2021-10-04 18:00:00,2.5235319967505858e-05
2021-10-04 19:00:00,2.5235319967505855e-05
2021-10-04 20:00:00,2.547306860784575e-05
2021-10-04 21:00:00,2.697173414427401e-05
2021-10-04 22:00:00,2.6916542495623674e-05
2021-10-04 23:00:00,2.6636338740937376e-05
2021-10-05 00:00:00,2.591460179704841e-05
2021-10-05 01:00:00,2.5557978836538573e-05
2021-10-05 02:00:00,2.5282020593286912e-05
2021-10-05 03:00:00,2.5073990532989502e-05
2021-10-05 04:00:00,2.485746944982282e-05
2021-10-05 05:00:00,2.4657930412394692e-05
2021-10-05 06:00:00,2.4275834383277e-05
2021-10-05 07:00:00,2.387251079698611e-05
2021-10-05 08:00:00,2.3528624370780195e-05
2021-10-05 09:00:00,2.3205965501747483e-05
2021-10-05 10:00:00,2.2581875320855264e-05
2021-10-05 11:00:00,2.1957785139963037e-05
2021-10-05 12:00:00,2.189834797987807e-05
2021-10-05 13:00:00,2.294274379279974e-05
