datetime,ENS_W
2021-10-01 00:00:00,1.071236636889401e-05
2021-10-01 01:00:00,1.0502684690955122e-05
2021-10-01 02:00:00,1.0140814698383169e-05
2021-10-01 03:00:00,9.841511012938141e-06
2021-10-01 04:00:00,9.59970069079894e-06
2021-10-01 05:00:00,9.302087986627616e-06
2021-10-01 06:00:00,9.063659627035815e-06
2021-10-01 07:00:00,8.930072106413458e-06
2021-10-01 08:00:00,8.759282997769685e-06
2021-10-01 09:00:00,8.5512923011045e-06
2021-10-01 10:00:00,8.336537679344508e-06
2021-10-01 11:00:00,8.309481978965297e-06
2021-10-01 12:00:00,8.328082772976004e-06
2021-10-01 13:00:00,8.204641139995854e-06
2021-10-01 14:00:00,8.297645110049392e-06
2021-10-01 15:00:00,8.870887761833933e-06
2021-10-01 16:00:00,9.335907612101628e-06
2021-10-01 17:00:00,9.746816061610901e-06
2021-10-01 18:00:00,1.0034282878140023e-05
2021-10-01 19:00:00,1.0306530863205838e-05
2021-10-01 20:00:00,1.0566941979355747e-05
2021-10-01 21:00:00,1.0536504316429135e-05
2021-10-01 22:00:00,1.0568632960629447e-05
2021-10-01 23:00:00,1.0737731087999517e-05
2021-10-02 00:00:00,1.0512830578597324e-05
2021-10-02 01:00:00,1.0225363762068203e-05
2021-10-02 02:00:00,1.014588764220427e-05
2021-10-02 03:00:00,1.0039355821961124e-05
2021-10-02 04:00:00,9.927751057896878e-06
2021-10-02 05:00:00,9.90576830133877e-06
2021-10-02 06:00:00,9.734979192694998e-06
2021-10-02 07:00:00,9.55404419640902e-06
2021-10-02 08:00:00,9.543898308766816e-06
2021-10-02 09:00:00,9.398473919228555e-06
2021-10-02 10:00:00,9.444130413618474e-06
2021-10-02 11:00:00,9.406928825597057e-06
2021-10-02 12:00:00,9.295324061532811e-06
2021-10-02 13:00:00,9.17019144727896e-06
2021-10-02 14:00:00,9.430602563428867e-06
2021-10-02 15:00:00,9.814455312558931e-06
2021-10-02 16:00:00,1.026594731263702e-05
2021-10-02 17:00:00,1.0577087866997951e-05
2021-10-02 18:00:00,1.0840880945695264e-05
2021-10-02 19:00:00,1.1001524166696831e-05
2021-10-02 20:00:00,1.0894992346453683e-05
2021-10-02 21:00:00,1.0862863702253374e-05
2021-10-02 22:00:00,1.0676855762146295e-05
2021-10-02 23:00:00,1.0680237724693694e-05
2021-10-03 00:00:00,1.0619362398840467e-05
2021-10-03 01:00:00,1.040629875835418e-05
2021-10-03 02:00:00,1.0272711237731822e-05
2021-10-03 03:00:00,1.0157724511120175e-05
2021-10-03 04:00:00,9.963261664644592e-06
2021-10-03 05:00:00,9.81614629383263e-06
2021-10-03 06:00:00,9.7417431177898e-06
2021-10-03 07:00:00,9.545589290040519e-06
2021-10-03 08:00:00,9.488095926734693e-06
2021-10-03 09:00:00,9.450894338713276e-06
2021-10-03 10:00:00,9.403546863049657e-06
2021-10-03 11:00:00,9.31054289299612e-06
2021-10-03 12:00:00,9.116080046520538e-06
2021-10-03 13:00:00,9.060277664488413e-06
